999,OLD MUTUAL PROPERTIES,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rent,Medium,80100000
1000,POWERTEL COMMUNICATIONS,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,T&N-PersEquip,Medium,43191609
1001,TELONE,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,T&N-VoDtBilling,High,81161703
1002,ZIMPOST-COURIER SERVICES,Zimbabwe,Africa & Middle East,ZWE,BankOpsSrvc,Couriers and Express Delivery Services,Courier&mail,Low,73151600
1003,DAWN PROPERTY CONSULTANCY (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,Rent,Medium,80100000
1004,PACPRINT PVT LTD,Zimbabwe,Africa & Middle East,ZWE,Uncategorised,Printing Machinery and Equipment Manufacturing,Uncategorised,Low,60121132
1005,SAFEGUARD ALARMS (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,Property,Security,Security,Low,80100000
1006,SECURICO SECURITY SERVICES,Zimbabwe,Africa & Middle East,ZWE,BankOpsSrvc,Security,SecrdServ,High,82121509
1007,STANDARD TELEPHONES & CABLES,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,T&N-PersEquip,Medium,43191609
1008,STUTTAFORDS (PVT) LTD,Zimbabwe,Africa & Middle East,ZWE,BankOpsSrvc,Couriers and Express Delivery Services,Courier&mail,Low,73151600
1009,TENDO ELECTRONICS & POWER ENGI,Zimbabwe,Africa & Middle East,ZWE,Property,All Other Professional~ Scientific~ and Technical Services,Fitout&Improv,High,80101504
1010,TRAVEL INTERNATIONAL PVT LTD,Zimbabwe,Africa & Middle East,ZWE,Travel,Travel Agencies,Hotel&Servapart,Medium,53121801
1011,WATERCOOLERS ZIMBABWE,Zimbabwe,Africa & Middle East,ZWE,OfficeSerSupp,Office Supplies (except Paper) Manufacturing,Others,Low,44103101
1012,WILLCHART ENTERPRISES,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,Srvc-Others,Low,81161703
1013,MANATSA LOVEMORE T,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,GrndsMaint,Low,80101500
1014,XHARI ENTERPRISES,Zimbabwe,Africa & Middle East,ZWE,Marketing,Marketing Consulting Services,Others,Low,80101508
1015,ZIMBABWE NATIONAL WATER AUTHORITY,Zimbabwe,Africa & Middle East,ZWE,Property,Real Estate Services,WaterSew,Low,49241704
1016,ZIMOCO LIMITED,Zimbabwe,Africa & Middle East,ZWE,BankOpsSrvc,Security,SecrdServ,High,82121509
1017,PROF HAWKINS,Zimbabwe,Africa & Middle East,ZWE,Professional Services,FINANCE,FinServ,Low,84111802
1018,TECHSOL SYSTEMS,Zimbabwe,Africa & Middle East,ZWE,Technology,TECHNOLOGY,Srvc-Others,Low,81161703
1019,TOYOTA ZIMBABWE,Zimbabwe,Africa & Middle East,JPN,HR,Human Resources Consulting Services,StaffBenefits,Low,43231505
1020,TOYOTA ZIMBABWE,Zimbabwe,Africa & Middle East,ZWE,HR,Human Resources Consulting Services,StaffBenefits,Low,43231505
1021,Total Zimbabwe (Private) Limited,Zimbabwe,Africa & Middle East,ZWE,Travel,Travel Agencies,Transport(fees),Medium,53121801
1022,M/SVINGO BUSINESS EXP,Zimbabwe,Africa & Middle East,ZWE,Branch-Expense,All Other Business Support Services,Branch-Expense,Low,80101500
1023,WILLIES KITCHEN,Zimbabwe,Africa & Middle East,ZWE,Property,Caterers,Cater&Vending,Low,48101909
1024,SAFE DEN SECURITY SYSTEMS PRIVATE,Zimbabwe,Africa & Middle East,ZWE,Property,Security,Security,Low,80100000
1025,Bindura Business Expense,Zimbabwe,Africa & Middle East,ZWE,Branch-Expense,All Other Business Support Services,Branch-Expense,Low,80101500
1026,BYO BUS EXPENSES,Zimbabwe,Africa & Middle East,ZWE,Branch-Expense,All Other Business Support Services,Branch-Expense,Low,80101500
1027,CHINHOYI BUS EXPENSES,Zimbabwe,Africa & Middle East,ZWE,Branch-Expense,All Other Business Support Services,Branch-Expense,Low,80101500
1028,KADOMA BUS EXPENSES,Zimbabwe,Africa & Middle East,ZWE,Branch-Expense,All Other Business Support Services,Branch-Expense,Low,80101500
1029,GWERU BUS EXPENSE,Zimbabwe,Africa & Middle East,ZWE,Branch-Expense,All Other Business Support Services,Branch-Expense,Low,80101500
1030,MUTARE BUS EXPENSES,Zimbabwe,Africa & Middle East,ZWE,Branch-Expense,All Other Business Support Services,Branch-Expense,Low,80101500
