County,% Smokers,% Obese,Household Income
Alameda,11,19,95550
Alpine,15,23,55755
Amador,11,24,60588
Butte,14,25,48634
Calaveras,12,25,58536
Colusa,12,28,53595
Contra Costa,10,25,95062
Del Norte,15,25,39996
El Dorado,11,20,78464
Fresno,14,29,51452
Glenn,14,26,49979
Humboldt,15,27,46123
Imperial,13,27,43413
Inyo,12,24,53528
Kern,16,31,49904
Kings,15,24,55076
Lake,15,24,45797
Lassen,14,26,58776
Los Angeles,11,21,64912
Madera,14,26,50783
Marin,10,18,112735
Mariposa,12,25,52387
Mendocino,14,27,50453
Merced,14,26,48036
Modoc,13,23,40970
Mono,13,23,60318
Monterey,12,25,70294
Napa,11,22,83881
Nevada,12,20,64901
Orange,10,20,86031
Placer,10,20,81366
Plumas,12,23,51756
Riverside,12,26,63776
Sacramento,13,27,62959
San Benito,11,25,77200
San Bernardino,13,26,60270
San Diego,11,20,76048
San Francisco,10,19,109601
San Joaquin,12,30,60950
San Luis Obispo,11,24,70634
San Mateo,9,21,115908
Santa Barbara,11,21,70651
Santa Clara,8,20,118468
Santa Cruz,12,17,76633
Shasta,14,23,51207
Sierra,12,23,49495
Siskiyou,15,25,44013
Solano,12,27,75931
Sonoma,11,20,79511
Stanislaus,13,31,58925
Sutter,13,27,54102
Tehama,15,25,41819
Trinity,15,25,40676
Tulare,16,34,46377
Tuolumne,12,24,58776
Ventura,11,21,82436
Yolo,12,23,64900
Yuba,15,28,53822
