County,Population,# Motor Vehicle Deaths
Alameda,1663190,624
Alpine,1120,0
Amador,38626,41
Butte,229294,205
Calaveras,45670,75
Colusa,21805,30
Contra Costa,1147439,509
Del Norte,27470,49
El Dorado,188987,158
Fresno,989255,950
Glenn,28094,30
Humboldt,136754,199
Imperial,182830,140
Inyo,18026,14
Kern,893119,930
Kings,150101,139
Lake,64246,113
Lassen,31163,37
Los Angeles,10163507,5313
Madera,156890,175
Marin,260955,83
Mariposa,17569,32
Mendocino,88018,101
Merced,272673,344
Modoc,8859,12
Mono,14168,10
Monterey,437907,280
Napa,140973,85
Nevada,99814,88
Orange,3190400,1407
Placer,386166,221
Plumas,18742,22
Riverside,2423266,1773
Sacramento,1530615,1012
San Benito,60310,69
San Bernardino,2157404,1801
San Diego,3337685,1600
San Francisco,884363,249
San Joaquin,745424,665
San Luis Obispo,283405,190
San Mateo,771410,298
Santa Barbara,448150,244
Santa Clara,1938153,815
Santa Cruz,275897,154
Shasta,179921,198
Sierra,2999,0
Siskiyou,43853,68
Solano,445458,300
Sonoma,504217,253
Stanislaus,547899,525
Sutter,96648,101
Tehama,63926,79
Trinity,12709,26
Tulare,464493,492
Tuolumne,54248,57
Ventura,854223,483
Yolo,219116,153
Yuba,77031,79
